disno.,total_deaths,no._injured,no._affected,no._homeless,total_affected,magnitude,total_damage_000_us$,"total_damage,_adjusted_000_us$"
2009-0640-IND,32.0,23.0,0.0,0.0,23.0,190.0,0.0,0.0
2009-0641-IND,20.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0642-CHN,11.0,0.0,0.0,50000.0,50000.0,190.0,108000.0,153390.0
2009-0644-USA,6.0,25.0,0.0,0.0,25.0,190.0,1500000.0,2130414.0
2009-0645-ZWE,50.0,0.0,1200.0,0.0,1200.0,190.0,0.0,0.0
2009-0649-ZAF,0.0,160.0,0.0,0.0,160.0,190.0,0.0,0.0
2009-0650-ZAF,0.0,100.0,0.0,0.0,100.0,190.0,0.0,0.0
2009-0651-GHA,20.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0652-MMR,50.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0653-EGY,20.0,12.0,0.0,0.0,12.0,190.0,0.0,0.0
2009-0655-ZMB,87.0,0.0,5198.0,0.0,5198.0,190.0,0.0,0.0
2009-0656-MWI,62.0,0.0,11461.0,0.0,11461.0,190.0,0.0,0.0
2009-0657-AGO,107.0,0.0,25795.0,0.0,25795.0,190.0,0.0,0.0
2009-0658-JPN,16.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0660-PER,158.0,422.0,235886.0,0.0,236308.0,135300.0,0.0,0.0
2009-0661-MOZ,155.0,0.0,19310.0,0.0,19310.0,190.0,0.0,0.0
2009-0663-CIV,20.0,130.0,0.0,0.0,130.0,190.0,0.0,0.0
2009-9055-ARG,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-9210-PRY,0.0,0.0,200000.0,0.0,200000.0,190.0,0.0,0.0
2009-9283-CHN,0.0,0.0,160000.0,0.0,160000.0,190.0,0.0,0.0
2009-9323-BGD,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-9323-IND,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-9415-ECU,0.0,0.0,107500.0,0.0,107500.0,190.0,1700.0,2414.0
2009-9415-GTM,0.0,0.0,2500000.0,0.0,2500000.0,190.0,0.0,0.0
2009-9415-SLV,0.0,0.0,0.0,0.0,0.0,190.0,27000.0,38347.0
2009-9415-VEN,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-9559-HND,0.0,0.0,45000.0,0.0,45000.0,190.0,0.0,0.0
2009-9615-ETH,0.0,0.0,6200000.0,0.0,6200000.0,190.0,0.0,0.0
2009-9633-SSD,0.0,0.0,4300000.0,0.0,4300000.0,190.0,0.0,0.0
2009-9634-BDI,0.0,0.0,180000.0,0.0,180000.0,190.0,0.0,0.0
2009-9651-NER,0.0,0.0,7900000.0,0.0,7900000.0,190.0,0.0,0.0
2009-9654-TCD,0.0,0.0,2400000.0,0.0,2400000.0,190.0,0.0,0.0
2009-9655-CHN,0.0,0.0,60000000.0,0.0,60000000.0,190.0,3600000.0,5112993.0
2009-9660-NPL,0.0,0.0,303000.0,0.0,303000.0,190.0,0.0,0.0
2009-9661-KGZ,0.0,0.0,2000000.0,0.0,2000000.0,190.0,0.0,0.0
2010-0002-TJK,0.0,0.0,6706.0,1134.0,7840.0,5.4,1500.0,2096.0
2010-0003-SLB,0.0,1.0,1125.0,0.0,1126.0,7.1,0.0,0.0
2010-0004-BGD,17.0,47.0,0.0,0.0,47.0,190.0,0.0,0.0
2010-0005-IND,10.0,37.0,0.0,0.0,37.0,190.0,0.0,0.0
2010-0008-BOL,22.0,28.0,0.0,0.0,28.0,190.0,0.0,0.0
